student_id,fname,lname,intervention_teacher
200482947,Hrishikesh,Bagalkote,hbagalkote@gmail.com
200200200,studentfirst,studentlast,hbagalkote@gmail.com
123456789,firstnametest,lastnametest,hbagalkote@gmail.com
999888777,studentfirstname,studentlastname,testemail1@gmail.com
111222333,fname,lname,testemail1@gmail.com
123123123,fname,lname,testemail2@gmail.com
333222111,bob,jones,testemail2@gmail.com
444333222,john,doe,testemail3@gmail.com
444333222,jane,doe,testemail3@gmail.com
123,test,student,hbagalkote@gmail.com
123,john,doe,jeff.burmester@g.gcpsk12.org
1234,nathan,m,julia.rachkovskiy@g.gcpsk12.org
